A-01,Indian Economy,A. D. Mascarenhas,Manan Prakashan,2008,200,10
A-02,Macro Economics,A. D. Mascarenhas,Manan Prakashan,2008,40,11
A-03,Indian Political System,Dr. Ashok jain,Sheth Publisher,2008,300,12
A-04,Public Administration ,Dr. Ashok jain,Sheth Publisher,2008,90,13
A-05,History Of Asia,Dr. Eugene J. Desouza,Manan Prakashan,2009,75,14
A-06,Ancient India,Dr. Eugene J. Desouza,Manan Prakashan,2008,10,15
A-08,Bharatiya Arthvyavstha Bhag-II (Marathi),"Bhosale, Kate",Phadke Prakashan,2006,95,16
A-09,Advanced Economic Theory,"Mascrenhas, Johnson",Manan Prakashan,2009,80,0
A-10,Micro Economics - Paper 1 (Marathi),Prachi,Prachi Prakashan,2010,60,17
A-11,Macro Economics - M. A. Part - 1 Paper 2 (Marathi),Prachi,Prachi Prakashan,2010,90,18
A-12,Agricultural Economics (Marathi),Prachi,Prachi Prakashan,2010,45,18
A-13,Origin Of Science & Ecological Studies (Foundation Course II),K. T. Basantani,Sheth Publisher,2007,380,20
A-14,Foundation Course-II S.Y.B.A/B.COM/BSC. SEM- IV,Dr. Sugandha S. Shetye ,Rishabh  Publishing house,2012,50,0
